Year,log_RGDP,FOR1,RES1,STD1,LCI1,UCI1,log_RPCE,FOR2,RES2,STD2,LCI2,UCI2,log_GPDI,FOR3,RES3,STD3,LCI3,UCI3,log_RFGCE,FOR4,RES4,STD4,LCI4,UCI4
01JUL1974,12.730677322,12.734373473,-0.003696151,0.0030100241,12.728473935,12.740273012,12.525252182,12.524373677,0.0008785049,0.002573468,12.519329772,12.529417581,11.432969291,11.445825165,-0.012855874,0.0138928944,11.418595592,11.473054738,12.162415036,12.16249924,-0.000084204,0.0034819476,12.155674748,12.169323732
01OCT1974,12.72893786,12.731876304,-0.002938444,0.0030100241,12.725976765,12.737775843,12.518842826,12.526205506,-0.00736268,0.002573468,12.521161602,12.531249411,11.449169732,11.434704954,0.0144647786,0.0138928944,11.407475381,11.461934526,12.164323109,12.167156939,-0.00283383,0.0034819476,12.160332447,12.173981431
01JAN1975,12.723652661,12.725749638,-0.002096977,0.0030100241,12.719850099,12.731649177,12.522457275,12.521278268,0.0011790072,0.002573468,12.516234363,12.526322173,11.387923467,11.418254495,-0.030331028,0.0138928944,11.391024922,11.445484067,12.16911578,12.167250921,0.0018648592,0.0034819476,12.160426429,12.174075413
01APR1975,12.72698787,12.723297511,0.0036903595,0.0030100241,12.717397972,12.72919705,12.529648474,12.52534172,0.0043067533,0.002573468,12.520297816,12.530385625,11.386142109,11.378042863,0.0080992457,0.0138928944,11.350813291,11.405272436,12.166193215,12.169659754,-0.003466538,0.0034819476,12.162835262,12.176484246
01JUL1975,12.734111451,12.732030271,0.0020811806,0.0030100241,12.726130732,12.73792981,12.535812938,12.533554089,0.0022588481,0.002573468,12.528510185,12.538597994,11.42357352,11.409874001,0.0136995183,0.0138928944,11.382644429,11.437103574,12.173040508,12.168941519,0.0040989885,0.0034819476,12.162117027,12.175766011
01OCT1975,12.739920273,12.73997665,-0.000056377,0.0030100241,12.734077111,12.745876189,12.540392049,12.541351879,-0.00095983,0.002573468,12.536307975,12.546395784,11.441223674,11.437223459,0.0040002151,0.0138928944,11.409993886,11.464453032,12.177074546,12.177383114,-0.000308568,0.0034819476,12.170558622,12.184207605
01JAN1976,12.749620385,12.745752372,0.0038680132,0.0030100241,12.739852833,12.751651911,12.548990994,12.54553416,0.0034568338,0.002573468,12.540490255,12.550578064,11.483729899,11.458739767,0.0249901319,0.0138928944,11.431510194,11.48596934,12.177969136,12.176606902,0.0013622336,0.0034819476,12.169782411,12.183431394
01APR1976,12.752893155,12.755139409,-0.002246254,0.0030100241,12.74923987,12.761038948,12.552960081,12.555392431,-0.002432351,0.002573468,12.550348527,12.560436336,11.508260306,11.509499616,-0.00123931,0.0138928944,11.482270043,11.536729188,12.173594139,12.179412462,-0.005818323,0.0034819476,12.17258797,12.186236954
01JUL1976,12.755097001,12.756563225,-0.001466224,0.0030100241,12.750663687,12.762462764,12.557543291,12.557398591,0.0001447006,0.002573468,12.552354686,12.562442495,11.516270883,11.517985484,-0.001714601,0.0138928944,11.490755911,11.545215057,12.171404635,12.176315407,-0.004910772,0.0034819476,12.169490915,12.183139899
01OCT1976,12.758344063,12.759096454,-0.000752391,0.0030100241,12.753196915,12.764995993,12.563184335,12.56317481,9.5244771E-6,0.002573468,12.558130906,12.568218715,11.528402438,11.522970205,0.0054322325,0.0138928944,11.495740633,11.550199778,12.171550946,12.172871673,-0.001320727,0.0034819476,12.166047181,12.179696165
01JAN1977,12.763368087,12.763436182,-0.000068095,0.0030100241,12.757536643,12.76933572,12.568119552,12.567892505,0.0002270479,0.002573468,12.5628486,12.572936409,11.556664262,11.545940127,0.0107241348,0.0138928944,11.518710555,11.5731697,12.175308825,12.173729207,0.0015796177,0.0034819476,12.166904715,12.180553699
01APR1977,12.771807879,12.768024743,0.0037831362,0.0030100241,12.762125204,12.773924282,12.570507915,12.573064441,-0.002556527,0.002573468,12.568020537,12.578108346,11.590730406,11.572150007,0.0185803988,0.0138928944,11.544920434,11.59937958,12.179551791,12.176320499,0.003231292,0.0034819476,12.169496007,12.183144991
01JUL1977,12.779423316,12.773236881,0.0061864352,0.0030100241,12.767337342,12.77913642,12.574633072,12.574240829,0.000392243,0.002573468,12.569196925,12.579284734,11.617105231,11.59202791,0.0250773208,0.0138928944,11.564798337,11.619257482,12.180527283,12.17891918,0.001608103,0.0034819476,12.172094688,12.185743672
